T_MeV,I_over_T4,I_over_T4_YErr,p_over_T4,p_over_T4_YErr,eps_over_T4,eps_over_T4_YErr,s_over_T3,s_over_T3_YErr,CV_over_T3,CV_over_T3_YErr,cs2,cs2_YErr
130,1.01,0.145,0.439,0.0545,2.33,0.245,2.77,0.295,16.5,1.95,0.168,0.0105
135,1.21,0.22,0.481,0.068,2.65,0.365,3.13,0.425,20.4,3.05,0.153,0.011
140,1.46,0.245,0.529,0.0735,3.05,0.42,3.58,0.485,24.5,3.3,0.146,0.0085
145,1.76,0.275,0.586,0.08,3.52,0.47,4.11,0.535,28.6,3.5,0.144,0.0065
150,2.09,0.295,0.651,0.087,4.05,0.51,4.70,0.59,32.6,3.6,0.144,0.0065
155,2.43,0.315,0.726,0.095,4.61,0.55,5.34,0.635,36.2,3.55,0.148,0.007
160,2.76,0.32,0.808,0.1025,5.19,0.58,6.00,0.67,39.3,3.35,0.153,0.0085
165,3.07,0.315,0.898,0.11,5.76,0.595,6.66,0.695,41.8,3.1,0.159,0.0095
170,3.34,0.305,0.994,0.1165,6.32,0.6,7.32,0.705,43.8,2.8,0.167,0.01
175,3.56,0.285,1.094,0.1225,6.85,0.6,7.94,0.71,45.2,2.5,0.176,0.0105
180,3.74,0.26,1.197,0.1275,7.33,0.59,8.53,0.705,46.2,2.25,0.185,0.0105
185,3.88,0.24,1.302,0.1315,7.78,0.575,9.08,0.71,47.0,2.05,0.194,0.0105
190,3.97,0.205,1.406,0.135,8.19,0.565,9.60,0.685,47.5,1.8,0.202,0.01
195,4.03,0.175,1.510,0.138,8.56,0.55,10.07,0.675,47.9,1.65,0.210,0.01
200,4.05,0.15,1.613,0.1405,8.89,0.53,10.50,0.66,48.1,1.55,0.218,0.01
205,4.05,0.14,1.713,0.1425,9.19,0.51,10.90,0.64,48.4,1.55,0.225,0.01
210,4.03,0.15,1.810,0.143,9.46,0.49,11.27,0.63,48.6,1.6,0.232,0.01
215,3.99,0.16,1.904,0.144,9.70,0.475,11.61,0.61,48.8,1.65,0.238,0.0095
220,3.94,0.17,1.995,0.144,9.93,0.465,11.92,0.6,49.1,1.75,0.243,0.009
225,3.88,0.175,2.083,0.1445,10.13,0.455,12.21,0.585,49.4,1.8,0.247,0.0085
230,3.82,0.18,2.168,0.1445,10.32,0.445,12.49,0.585,49.8,1.85,0.251,0.008
235,3.76,0.185,2.249,0.1435,10.50,0.445,12.75,0.585,50.3,1.9,0.254,0.0075
240,3.69,0.19,2.328,0.1435,10.68,0.44,13.00,0.58,50.7,1.9,0.256,0.0075
245,3.63,0.195,2.403,0.1435,10.84,0.44,13.24,0.575,51.1,1.9,0.259,0.007
250,3.57,0.2,2.476,0.1425,10.99,0.44,13.47,0.57,51.5,1.9,0.261,0.0065
255,3.50,0.205,2.546,0.1425,11.14,0.44,13.68,0.57,51.9,1.9,0.264,0.0065
260,3.44,0.21,2.613,0.1425,11.28,0.44,13.89,0.575,52.2,1.9,0.266,0.0065
265,3.38,0.21,2.678,0.1415,11.41,0.44,14.09,0.575,52.5,1.85,0.268,0.006
270,3.32,0.21,2.741,0.1415,11.54,0.44,14.28,0.57,52.8,1.8,0.270,0.006
275,3.26,0.21,2.801,0.141,11.66,0.44,14.46,0.57,53.1,1.8,0.272,0.0055
280,3.20,0.21,2.859,0.1405,11.77,0.435,14.63,0.57,53.3,1.75,0.274,0.0055
285,3.14,0.21,2.915,0.1405,11.88,0.43,14.80,0.57,53.6,1.75,0.276,0.005
290,3.08,0.21,2.969,0.14,11.99,0.43,14.95,0.565,53.8,1.7,0.278,0.005
295,3.02,0.205,3.021,0.14,12.08,0.43,15.11,0.56,54.0,1.7,0.280,0.005
300,2.96,0.205,3.072,0.1395,12.18,0.43,15.25,0.56,54.2,1.7,0.282,0.0055
305,2.91,0.205,3.120,0.139,12.27,0.425,15.39,0.555,54.3,1.7,0.283,0.0055
310,2.85,0.2,3.167,0.139,12.35,0.42,15.52,0.555,54.5,1.7,0.285,0.006
315,2.79,0.195,3.212,0.1385,12.43,0.42,15.64,0.555,54.6,1.7,0.286,0.006
320,2.74,0.195,3.256,0.1385,12.51,0.415,15.76,0.55,54.8,1.7,0.288,0.006
325,2.69,0.195,3.298,0.138,12.58,0.415,15.88,0.545,54.9,1.7,0.289,0.0065
330,2.63,0.19,3.338,0.1375,12.65,0.41,15.99,0.54,55.0,1.7,0.291,0.0065
335,2.58,0.19,3.377,0.1375,12.71,0.41,16.09,0.54,55.1,1.75,0.292,0.0065
340,2.53,0.19,3.415,0.137,12.78,0.405,16.19,0.535,55.2,1.75,0.293,0.007
345,2.48,0.195,3.452,0.1365,12.83,0.405,16.29,0.535,55.3,1.75,0.294,0.007
350,2.43,0.195,3.487,0.136,12.89,0.4,16.38,0.53,55.4,1.85,0.296,0.007
355,2.38,0.195,3.521,0.1355,12.94,0.4,16.47,0.53,55.5,1.85,0.297,0.007
360,2.33,0.2,3.554,0.1355,13.00,0.4,16.55,0.53,55.6,1.85,0.298,0.007
365,2.29,0.205,3.586,0.1345,13.04,0.4,16.63,0.53,55.7,1.9,0.299,0.007
370,2.24,0.205,3.617,0.1345,13.09,0.4,16.71,0.53,55.8,1.95,0.300,0.007
375,2.20,0.205,3.647,0.134,13.14,0.4,16.78,0.53,55.8,1.95,0.301,0.007
380,2.15,0.215,3.675,0.1335,13.18,0.4,16.85,0.53,55.9,2,0.302,0.007
385,2.11,0.215,3.703,0.1335,13.22,0.405,16.92,0.53,56.0,2,0.302,0.007
390,2.07,0.215,3.730,0.1325,13.26,0.405,16.99,0.53,56.1,2.05,0.303,0.007
395,2.03,0.22,3.756,0.1325,13.30,0.405,17.05,0.53,56.2,2.05,0.304,0.007
400,1.99,0.22,3.782,0.132,13.34,0.405,17.12,0.53,56.2,2.1,0.304,0.007
