T,sT3_target,pred_best,error
130,2.77,2.09918928803,0.295
135,3.13,2.6542298781,0.425
140,3.58,3.29489951531,0.485
145,4.11,4.02768659734,0.535
150,4.7,4.86638915631,0.59
155,5.34,5.82376541444,0.635
160,6,6.84543289462,0.67
165,6.66,7.71271986592,0.695
170,7.32,8.33117902156,0.705
175,7.94,8.80734792456,0.71
180,8.53,9.21661990183,0.705
185,9.08,9.59053684213,0.71
190,9.6,9.94239841497,0.685
195,10.07,10.2783363673,0.675
200,10.5,10.6014335001,0.66
205,10.9,10.9133532058,0.64
210,11.27,11.2150419998,0.63
215,11.61,11.5070581385,0.61
220,11.92,11.7897376203,0.6
225,12.21,12.0632848747,0.585
230,12.49,12.3278267075,0.585
235,12.75,12.5834473878,0.585
240,13,12.8302133735,0.58
245,13.24,13.0681916725,0.575
250,13.47,13.2974636216,0.57
255,13.68,13.5181348241,0.57
260,13.89,13.7303415637,0.575
265,14.09,13.9342539422,0.575
270,14.28,14.1300760806,0.57
275,14.46,14.3180438642,0.57
280,14.63,14.4984208274,0.57
285,14.8,14.6714928181,0.57
290,14.95,14.8375620592,0.565
295,15.11,14.9969411377,0.56
300,15.25,15.1499473315,0.56
305,15.39,15.2968975526,0.555
310,15.52,15.4381040649,0.555
315,15.64,15.5738710323,0.555
320,15.76,15.7044918782,0.55
325,15.88,15.8302473888,0.545
330,15.99,15.9514044651,0.54
335,16.09,16.068215416,0.54
340,16.19,16.1809176878,0.535
345,16.29,16.2897339327,0.535
350,16.38,16.3948723304,0.53
355,16.47,16.4965270903,0.53
360,16.55,16.5948790767,0.53
365,16.63,16.6900965092,0.53
370,16.71,16.7823357024,0.53
375,16.78,16.871741818,0.53
380,16.85,16.9584496105,0.53
385,16.92,17.0425841502,0.53
390,16.99,17.1242615169,0.53
395,17.05,17.2035894569,0.53
400,17.12,17.2806679999,0.53
