eval,stage,a1,a2,loss
1,init,-7.7574565559,0.1141825396,9.193921175
2,init,-7.88920357269,0.126948849817,9.50170689754
3,init,-7.88426412889,0.116090870903,9.68266991021
4,init,-7.61962553726,0.108988883606,9.67407998891
5,init,-7.68145630629,0.10083432181,9.98502305939
6,init,-7.74778173007,0.133190839632,13.9633591607
7,init,-7.78847291684,0.120009192871,9.4021026509
8,init,-7.51024847153,0.0973424411438,9.81090854688
9,bo,-7.94692049468,0.12793860652,9.40421762395
10,bo,-7.50001027817,0.117970471234,15.5214920451
11,bo,-7.93919928827,0.0958779848727,20.3278359032
12,bo,-7.93784359407,0.121722349239,9.52986601282
13,bo,-7.58623628285,0.0951692175404,10.0748568552
14,bo,-7.84496016563,0.119333817943,9.20668430431
15,bo,-7.94457390112,0.134939519774,10.2890374737
16,bo,-7.60264516281,0.10223187928,9.46673247537
17,bo,-7.68939025241,0.109249873796,9.26052554159
18,bo,-7.70751592894,0.114983986495,9.49999099124
19,bo,-7.79630927732,0.116659835482,9.18516277699
20,bo,-7.5237293347,0.134259507924,25.193755477
21,bo,-7.50008122524,0.105011226636,10.818335801
22,bo,-7.77059278822,0.109796035875,9.4531770026
23,bo,-7.91081290123,0.123943640711,9.29432754675
24,bo,-7.7827699172,0.0955001656963,14.0050505548
25,bo,-7.7996378718,0.115005491839,9.20881624223
26,bo,-7.51014876843,0.0952407787789,9.83405851772
27,bo,-7.83592743437,0.134843098839,12.1782800761
28,bo,-7.71758120725,0.108362179147,9.30240212227
29,bo,-7.95,0.110488699853,12.4504216176
30,bo,-7.65405914072,0.105917711542,9.33157039325
31,bo,-7.84983325259,0.122075194095,9.27196944509
32,bo,-7.68327595765,0.0952209604207,11.4630906236
