a1,a2,loss
-10.6,0.02,1009.97790033
-10.6,0.06875,645.771658032
-10.6,0.1175,378.706455751
-10.6,0.16625,198.02607744
-10.6,0.215,92.4324800781
-10.6,0.26375,50.8361758011
-10.6,0.3125,62.8417546711
-10.6,0.36125,119.02441949
-10.6,0.41,211.058770969
-10.6,0.45875,331.741734539
-10.6,0.5075,474.94316287
-10.6,0.55625,635.513606538
-10.6,0.605,809.169122174
-10.6,0.65375,992.367421216
-10.6,0.7025,1182.18815003
-10.6,0.75125,1376.22658728
-10.6,0.8,1572.50447477
-10.4,0.02,928.486679657
-10.4,0.06875,582.840593129
-10.4,0.1175,332.713241567
-10.4,0.16625,167.152975194
-10.4,0.215,74.8219860218
-10.4,0.26375,44.699180933
-10.4,0.3125,66.5236243787
-10.4,0.36125,131.041110094
-10.4,0.41,230.1105506
-10.4,0.45875,356.709322802
-10.4,0.5075,504.872632444
-10.4,0.55625,669.594684003
-10.4,0.605,846.710148465
-10.4,0.65375,1032.77081081
-10.4,0.7025,1224.92982405
-10.4,0.75125,1420.84089468
-10.4,0.8,1618.57411551
-10.2,0.02,849.221956188
-10.2,0.06875,522.277160111
-10.2,0.1175,289.141105732
-10.2,0.16625,138.695670058
-10.2,0.215,59.5872949276
-10.2,0.26375,40.8805729363
-10.2,0.3125,72.4609774694
-10.2,0.36125,145.252711479
-10.2,0.41,251.302312646
-10.2,0.45875,383.767404883
-10.2,0.5075,536.845962129
-10.2,0.55625,705.67162192
-10.2,0.605,886.193087491
-10.2,0.65375,1075.05283171
-10.2,0.7025,1269.47618654
-10.2,0.75125,1467.17590693
-10.2,0.8,1666.27233166
-10,0.02,772.33054681
-10,0.06875,464.214838788
-10,0.1175,248.112656158
-10,0.16625,112.768967826
-10,0.215,46.838144557
-10,0.26375,39.4869623102
-10,0.3125,80.7588399475
-10,0.36125,161.763142434
-10,0.41,274.736164239
-10,0.45875,413.01468325
-10,0.5075,570.956145746
-10,0.55625,743.829132216
-10,0.605,927.692292869
-10,0.65375,1119.27644675
-10,0.7025,1315.87889038
-10,0.75125,1515.27287183
-10,0.8,1715.63129604
-9.8,0.02,697.966784785
-9.8,0.06875,408.794418682
-9.8,0.1175,209.757869008
-9.8,0.16625,89.4954105102
-9.8,0.215,36.6921529576
-9.8,0.26375,40.6329924517
-9.8,0.3125,91.5301201301
-9.8,0.36125,180.683491725
-9.8,0.41,300.5201618
-9.8,0.45875,444.55412949
-9.8,0.5075,607.298465714
-9.8,0.55625,784.152334587
-9.8,0.605,971.28110598
-9.8,0.65375,1165.50279508
-9.8,0.7025,1364.18748341
-9.8,0.75125,1565.17098843
-9.8,0.8,1766.68138487
-9.6,0.02,626.293349331
-9.6,0.06875,356.164725758
-9.6,0.1175,174.215044909
-9.6,0.16625,69.0061216946
-9.6,0.215,29.2756364997
-9.6,0.26375,44.4420411534
-9.6,0.3125,104.895974395
-9.6,0.36125,202.132005929
-9.6,0.41,328.76791869
-9.6,0.45875,478.492255221
-9.6,0.5075,645.969617113
-9.6,0.55625,826.725956463
-9.6,0.605,1017.03129176
-9.6,0.65375,1213.79089056
-9.6,0.7025,1414.44931168
-9.6,0.75125,1616.90744402
-9.6,0.8,1819.45126859
-9.4,0.02,557.482065746
-9.4,0.06875,306.483584935
-9.4,0.1175,141.63184808
-9.4,0.16625,51.4417089197
-9.4,0.215,24.724475328
-9.4,0.26375,51.0468165946
-9.4,0.3125,120.985988813
-9.4,0.36125,226.233852976
-9.4,0.41,359.597963188
-9.4,0.45875,514.938186428
-9.4,0.5075,687.066758744
-9.4,0.55625,871.633593985
-9.4,0.605,1065.01258927
-9.4,0.65375,1264.19742237
-9.4,0.7025,1466.70946547
-9.4,0.75125,1670.51746861
-9.4,0.8,1873.96800357
-9.2,0.02,491.714790662
-9.2,0.06875,259.918989946
-9.2,0.1175,112.166369822
-9.2,0.16625,36.9532428567
-9.2,0.215,23.1849522633
-9.2,0.26375,60.5897794355
-9.2,0.3125,139.938121127
-9.2,0.36125,253.120609769
-9.2,0.41,393.132846264
-9.2,0.45875,554.002619725
-9.2,0.5075,730.686583039
-9.2,0.55625,918.957068209
-9.2,0.605,1115.29237419
-9.2,0.65375,1316.77665085
-9.2,0.7025,1521.01084185
-9.2,0.75125,1726.03442587
-9.2,0.8,1930.25714711
-9,0.02,429.184562726
-9,0.06875,216.650407624
-9,0.1175,85.9882396213
-9,0.16625,25.7032880705
-9,0.215,24.8144537212
-9,0.26375,73.2233134413
-9,0.3125,161.898353524
-9,0.36125,282.92944824
-9,0.41,429.49802366
-9,0.45875,595.79670884
-9,0.5075,776.924469589
-9,0.55625,968.775925971
-9,0.605,1167.93545474
-9,0.65375,1371.58037662
-9,0.7025,1577.39420302
-9,0.75125,1783.48993224
-9,0.8,1988.34287778
