T_MeV,phi_u,phi_d,phi_s,Phi,PhiBar,dphi_light_dT_MeV
130,-1.96640890629,-1.96640890629,-2.6220837124,0.0285029210782,0.0285029210782,0.000783267324115
135,-1.96171563135,-1.96171563135,-2.62054947828,0.0354174109112,0.0354174109112,0.00111245020579
140,-1.95506267142,-1.95506267142,-2.6183339347,0.0438527086276,0.0438527086276,0.00157541867515
145,-1.94563445238,-1.94563445238,-2.6151421208,0.054215903994,0.054215903994,0.00223592890439
150,-1.93220111153,-1.93220111153,-2.61053047961,0.0670875473357,0.0670875473357,0.00320040176866
155,-1.91281637089,-1.91281637089,-2.60380311896,0.0833308023415,0.0833308023415,0.00465875468033
160,-1.88419838987,-1.88419838987,-2.59380466973,0.104291760509,0.104291760509,0.00697873728008
165,-1.84033632889,-1.84033632889,-2.57847023421,0.132180892854,0.132180892854,0.0109463591171
170,-1.76900866249,-1.76900866249,-2.55376124036,0.17078437973,0.17078437973,0.0184390096961
175,-1.64234050215,-1.64234050215,-2.51107955731,0.226397799721,0.226397799721,0.0343213448412
180,-1.39447263246,-1.39447263246,-2.43309515146,0.305684722389,0.305684722389,0.068709256604
185,-0.959235460145,-0.959235460145,-2.31451766323,0.39539974687,0.39539974687,0.0935330944326
190,-0.592243546587,-0.592243546587,-2.2238028218,0.458219742201,0.458219742201,0.0518416004255
