T,sT3,errplus,errminus,err
130,2.77,0.2,0.39,0.295
135,3.13,0.41,0.44,0.425
140,3.58,0.47,0.5,0.485
145,4.11,0.52,0.55,0.535
150,4.7,0.58,0.6,0.59
155,5.34,0.62,0.65,0.635
160,6,0.66,0.68,0.67
165,6.66,0.69,0.7,0.695
170,7.32,0.7,0.71,0.705
175,7.94,0.71,0.71,0.71
180,8.53,0.71,0.7,0.705
185,9.08,0.71,0.71,0.71
190,9.6,0.69,0.68,0.685
195,10.07,0.68,0.67,0.675
200,10.5,0.67,0.65,0.66
205,10.9,0.65,0.63,0.64
210,11.27,0.64,0.62,0.63
215,11.61,0.62,0.6,0.61
220,11.92,0.61,0.59,0.6
225,12.21,0.59,0.58,0.585
230,12.49,0.59,0.58,0.585
235,12.75,0.59,0.58,0.585
240,13,0.58,0.58,0.58
245,13.24,0.58,0.57,0.575
250,13.47,0.57,0.57,0.57
255,13.68,0.57,0.57,0.57
260,13.89,0.58,0.57,0.575
265,14.09,0.58,0.57,0.575
270,14.28,0.57,0.57,0.57
275,14.46,0.57,0.57,0.57
280,14.63,0.57,0.57,0.57
285,14.8,0.57,0.57,0.57
290,14.95,0.57,0.56,0.565
295,15.11,0.56,0.56,0.56
300,15.25,0.56,0.56,0.56
305,15.39,0.56,0.55,0.555
310,15.52,0.56,0.55,0.555
315,15.64,0.56,0.55,0.555
320,15.76,0.55,0.55,0.55
325,15.88,0.55,0.54,0.545
330,15.99,0.54,0.54,0.54
335,16.09,0.54,0.54,0.54
340,16.19,0.54,0.53,0.535
345,16.29,0.54,0.53,0.535
350,16.38,0.53,0.53,0.53
355,16.47,0.53,0.53,0.53
360,16.55,0.53,0.53,0.53
365,16.63,0.53,0.53,0.53
370,16.71,0.53,0.53,0.53
375,16.78,0.53,0.53,0.53
380,16.85,0.53,0.53,0.53
385,16.92,0.53,0.53,0.53
390,16.99,0.53,0.53,0.53
395,17.05,0.53,0.53,0.53
400,17.12,0.53,0.53,0.53
