T,sT3_target,sT3_pred,err
130,2.77,2.09650668985,0.295
135,3.13,2.65098706607,0.425
140,3.58,3.29110918692,0.485
145,4.11,4.02335203469,0.535
150,4.7,4.86149603149,0.59
155,5.34,5.81834605962,0.635
160,6,6.83988977914,0.67
165,6.66,7.7077061675,0.695
170,7.32,8.32658171681,0.705
175,7.94,8.80291840836,0.71
180,8.53,9.21225182366,0.705
185,9.08,9.586191008,0.71
190,9.6,9.93806061072,0.685
195,10.07,10.2740020681,0.675
200,10.5,10.5971021863,0.66
205,10.9,10.9090260805,0.64
210,11.27,11.2107210052,0.63
215,11.61,11.5027455066,0.61
220,11.92,11.7854356568,0.6
225,12.21,12.0589958504,0.585
230,12.49,12.323552799,0.585
235,12.75,12.5791906415,0.585
240,13,12.825975682,0.58
245,13.24,13.0639747564,0.575
250,13.47,13.2932690174,0.57
255,13.68,13.5139638757,0.57
260,13.89,13.72619542,0.575
265,14.09,13.930133559,0.575
270,14.28,14.125982228,0.57
275,14.46,14.3139771387,0.57
280,14.63,14.4943816665,0.57
285,14.8,14.6674815178,0.57
290,14.95,14.8335787924,0.565
295,15.11,14.9929859725,0.56
300,15.25,15.1460202482,0.56
305,15.39,15.2929984602,0.555
310,15.52,15.4342328153,0.555
315,15.64,15.5700274326,0.555
320,15.76,15.7006757013,0.55
325,15.88,15.8264583822,0.545
330,15.99,15.947642358,0.54
335,16.09,16.0644799248,0.54
340,16.19,16.1772085212,0.535
345,16.29,16.2860507948,0.535
350,16.38,16.3912149236,0.53
355,16.47,16.4928951175,0.53
360,16.55,16.5912722428,0.53
365,16.63,16.6865145223,0.53
370,16.71,16.7787782744,0.53
375,16.78,16.8682086656,0.53
380,16.85,16.9549404553,0.53
385,16.92,17.039098719,0.53
390,16.99,17.120799542,0.53
395,17.05,17.2001506759,0.53
400,17.12,17.277252156,0.53
